CorrectVendorId;importVendorId
50167;1
50168;2
50169;4
50170;6
50171;7
50172;8
50173;10
50174;11
50175;12
50176;14
50177;15
50178;16
50179;17
50180;18
50181;19
50182;20
50183;23
50184;24
50185;25
50186;26
50187;27
50188;29
50189;30
50190;31
50191;32
50192;33
50193;34
50194;35
50195;37
50196;39
50197;40
50198;41
50199;44
50200;45
50201;46
50202;47
50203;48
50204;49
50205;51
50206;52
50207;53
50208;54
50209;56
50210;57
50211;58
50212;59
50213;60
50214;61
50215;62
50216;63
50217;64
50218;65
50219;66
50220;67
50221;68
50222;69
50223;70
50224;71
50225;72
50226;73
50227;74
50228;75
50229;76
50230;78
50231;79
50232;80
50233;81
50234;82
50235;83
50236;84
50237;85
50238;86
50239;87
50240;88
50241;89
50242;90
50243;91
50244;92
50245;104
50246;105
50247;106
50248;107
50249;108
50250;109
50251;110
50252;111
50253;112
50254;113
50255;114
50256;115
50257;116
50258;117
50259;118
50260;119
50261;120
50262;121
50263;122
50264;123
50265;124
50266;125
50267;130
50268;131
50269;132
50270;134
50271;135
50272;136
50273;137
50274;138
50275;139
50276;140
50277;141
50278;142
50279;143
50280;145
50281;146
50282;147
50283;149
50284;151
50285;152
50286;153
50287;155
50288;156
50289;157
50290;158
50291;159
50292;160
50293;161
50294;162
50295;163
50296;165
50297;166
50298;167
50299;168
50300;169
50301;170
50302;171
50303;172
50304;173
50305;174
50306;175
50307;176
50308;177
50309;178
50310;179
50311;183
50312;184
50313;185
50314;186
50315;187
50316;188
50317;189
50318;190
50319;191
50320;192
50321;193
50322;194
50323;196
50324;197
50325;198
50326;199
50327;202
50328;203
50329;204
50330;205
50331;206
50332;207
50333;208
50334;209
50335;210
50336;211
50337;212
50338;213
50339;214
50340;215
50341;216
50342;217
50343;218
50344;219
50345;220
50346;221
50347;222
50348;223
50349;224
50350;227
50351;228
50352;229
50353;230
50354;232
50355;233
50356;234
50357;235
50358;236
50359;237
50360;238
50361;239
50362;240
50363;241
50364;242
50365;245
50366;246
50367;247
50368;248
50369;249
50370;250
50371;251
50372;252
50373;253
50374;254
50375;255
50376;256
50377;257
50378;258
50379;259
50380;260
50381;261
50382;262
50383;263
50384;264
50385;265
50386;266
50387;267
50388;268
50389;269
50390;270
50391;271
50392;272
50393;273
50394;274
50395;275
50396;276
50397;277
50398;278
50399;279
50400;280
50401;281
50402;282
50403;283
50404;284
50405;285
50406;286
50407;287
50408;288
50409;289
50410;290
50411;291
50412;292
50413;293
50414;294
50415;295
50416;296
50417;297
50418;298
50419;299
50420;300
50421;301
50422;302
50423;303
50424;304
50425;305
50426;306
50427;307
50428;308
50430;310
50431;311
50432;312
50433;313
50434;314
50435;315
50436;316
50437;317
50438;318
50439;320
50440;321
50441;322
50442;323
50443;324
50444;325
50445;326
50446;327
50447;328
50448;329
50449;330
50450;331
50451;332
50452;333
50453;334
50454;335
50455;336
50456;337
50457;338
50458;339
50459;340
50460;341
50461;343
50462;344
50463;345
50464;346
50465;347
50466;348
50467;350
50468;351
50469;352
50470;353
50471;354
50472;355
50473;356
50474;357
50475;358
50476;359
50477;360
50478;361
50479;362
50480;363
50481;364
50482;365
50483;366
50484;367
50485;368
50486;369
50487;370
50488;371
50489;383
50490;384
50491;385
50492;386
50493;387
50494;388
50495;389
50496;392
50497;393
50498;394
50499;395
50500;396
50501;397
50502;398
50503;399
50504;400
50505;401
50506;402
50507;403
50508;404
50509;405
50510;406
50511;407
50512;408
50513;409
50514;410
50515;411
50516;412
50517;413
50518;484
50519;485
50520;486
50521;488
50522;490
50523;493
50524;494
50525;502
50526;505
50527;506
50528;507
50529;508
50530;509
50531;510
50532;511
50533;512
50534;513
50535;514
50536;516
50537;517
50538;520
50539;521
50540;526
50541;527
50542;528
50543;529
50544;530
50545;531
50546;532
50547;533
50548;534
50549;539
50550;542
50551;544
50552;557
50553;558
50554;560
50555;561
50556;562
50557;563
50558;564
50561;568
50562;569
50563;570
50564;571
50565;572
50566;573
50567;574
50568;575
50569;576
50570;578
50571;579
50572;580
50573;581
50574;582
50575;583
50576;585
50577;587
50578;588
50579;589
50580;590
50581;591
50582;592
50583;593
50584;594
50585;595
50586;597
50587;598
50588;599
50589;600
50590;601
50591;602
50592;603
50593;604
50594;612
50595;614
50596;615
50597;616
50599;618
50600;619
50601;620
50602;621
50603;622
50605;624
74569;625
74570;626
74571;627
74572;628
74573;629
74574;630
74575;631
74576;632
74577;633
74578;634
74579;635
74580;636
75908;637
75909;640
75910;644
75911;646
75912;647
75913;662
75914;663
75915;680
75916;688
75917;689
75918;690
75919;691
